Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759,FID
2020/10/21 17:00:00+00,,0,0,75,23,87,13,5,1054,9,211,1,1,7,10,78,0,3,130,118,939,3,2461,0,74,7,96,33,301,726,355,1022,869,13,87,78,372,183,862,1277,537,174,397,492,156,73,322,174,109,324,339,145,95,261,155,1959,44,2278,1321,422,693,1130,446,314,221,680,2068,830,108,386,1727,529,42
2020/10/22 17:00:00+00,,0,0,75,23,88,13,5,1062,9,212,1,1,7,10,78,0,3,130,118,940,3,2471,0,74,7,96,31,301,727,356,1024,869,13,87,78,372,183,864,1278,536,175,400,495,156,76,323,175,109,327,340,145,96,261,156,1963,44,2284,1324,424,694,1141,446,318,221,686,2075,832,109,389,1729,531,43
2020/10/23 17:00:00+00,,0,0,75,24,87,13,5,1064,9,212,1,1,7,10,78,0,3,131,118,945,3,2480,0,75,7,96,31,302,728,358,1027,873,13,89,78,373,183,868,1279,537,177,400,498,157,78,321,175,111,327,339,146,95,263,156,1968,44,2294,1326,425,698,1142,449,318,221,689,2080,833,110,390,1734,532,44
2020/10/24 17:00:00+00,,0,0,75,24,87,13,5,1065,9,213,1,1,7,10,78,0,3,132,118,953,3,2491,0,75,7,96,31,302,729,358,1034,873,13,89,78,373,184,873,1281,537,179,400,500,157,78,322,175,111,327,339,147,95,263,156,1975,44,2296,1331,425,699,1144,450,318,222,693,2083,835,112,390,1742,532,45
2020/10/25 17:00:00+00,,0,0,75,24,87,13,5,1069,9,213,1,1,7,10,78,0,3,132,118,957,3,2491,0,75,7,96,31,302,732,361,1036,882,14,88,78,373,183,872,1285,537,179,400,500,157,78,323,176,111,329,339,146,96,263,156,1977,44,2298,1332,426,699,1142,450,318,223,697,2084,835,112,393,1740,534,46
2020/10/26 17:00:00+00,,0,0,75,24,87,13,5,1072,9,213,1,1,7,10,78,0,3,133,118,960,4,2498,0,75,7,96,31,302,736,366,1036,900,14,89,79,373,185,873,1288,540,179,400,505,157,79,325,178,111,331,340,146,97,265,157,1981,44,2300,1332,428,707,1143,453,318,224,699,2087,838,113,395,1746,536,47
2020/10/27 17:00:00+00,,0,0,75,24,89,13,5,1080,9,213,1,1,8,10,78,0,3,133,118,963,4,2509,0,75,7,96,31,302,740,368,1037,901,14,92,79,373,185,879,1292,540,179,400,509,160,80,332,179,111,332,342,149,98,265,157,1984,44,2305,1338,431,708,1152,455,320,225,700,2088,842,113,397,1750,541,48
2020/10/28 17:00:00+00,,0,0,75,24,89,13,5,1087,9,214,1,1,8,11,79,,3,133,117,967,4,2515,,75,7,96,31,305,742,368,1039,903,14,92,79,374,185,880,1294,543,181,406,510,160,81,332,180,111,332,344,149,98,270,157,1988,44,2308,1340,431,711,1152,455,323,225,704,2092,844,112,397,1751,542,49
2020/10/29 17:00:00+00,,0,0,75,24,89,13,5,1087,9,216,1,1,8,11,79,0,3,133,118,976,4,2525,0,76,7,96,31,305,745,369,1041,906,14,94,79,374,185,880,1295,543,181,406,513,160,81,334,182,111,331,345,149,99,274,157,1991,44,2315,1342,433,715,1156,458,324,225,705,2092,848,112,402,1753,547,50
2020/10/30 17:00:00+00,,0,0,75,24,89,13,5,1088,9,216,1,1,8,11,79,,3,134,118,978,4,2530,,76,7,97,31,308,745,370,1047,908,14,95,79,376,185,882,1298,543,182,409,514,159,81,338,183,113,333,346,150,99,276,157,1995,44,2319,1347,439,715,1160,458,327,225,706,2095,849,113,404,1756,548,51
2020/10/31 17:00:00+00,,0,0,72,24,86,12,5,1065,9,217,1,1,8,11,79,,3,134,113,971,4,2471,,73,6,95,29,281,703,350,958,818,13,85,78,362,180,818,1249,539,164,394,473,148,77,325,181,113,329,320,139,98,271,158,1784,43,2225,1260,434,682,1114,449,324,211,643,1910,778,109,370,1591,518,52
2020/11/01 17:00:00+00,,0,0,75,24,89,13,5,1089,9,217,1,1,8,11,79,,3,139,119,981,4,2550,,76,7,97,31,308,752,370,1057,918,15,94,79,377,185,888,1299,545,183,415,518,159,81,340,185,114,334,351,149,99,276,160,2003,44,2331,1360,446,718,1167,463,332,226,710,2104,850,116,406,1763,552,53
2020/11/02 17:00:00+00,,0,0,75,24,89,13,5,1090,9,217,1,1,8,11,79,,3,139,120,985,4,2565,,76,7,97,31,309,755,372,1063,922,15,94,79,377,187,889,1299,545,186,419,520,159,81,343,185,115,336,351,152,99,279,162,2005,44,2334,1361,446,720,1168,463,335,227,712,2106,852,116,406,1768,554,54
2020/11/03 17:00:00+00,,0,0,75,24,89,13,5,1094,9,217,1,1,8,11,79,0,3,139,121,987,4,2577,0,76,8,99,31,312,758,372,1073,923,15,95,81,380,187,897,1305,546,188,423,523,161,82,344,187,117,336,353,154,99,281,165,2010,44,2346,1369,448,721,1176,464,335,227,716,2112,856,116,413,1771,557,55
2020/11/04 17:00:00+00,,0,0,75,24,90,13,5,1096,9,217,2,1,8,11,79,0,3,139,123,991,4,2592,0,78,8,100,31,314,762,373,1079,931,15,95,82,382,188,904,1309,549,190,425,531,161,82,345,188,118,337,356,154,99,283,166,2012,44,2358,1377,448,723,1186,465,339,229,720,2118,857,117,414,1776,558,56
