Date,Notes,Zip_76574,Zip_78605,Zip_78610,Zip_78612,Zip_78613,Zip_78615,Zip_78616,Zip_78617,Zip_78620,Zip_78621,Zip_78626,Zip_78628,Zip_78634,Zip_78640,Zip_78641,Zip_78642,Zip_78644,Zip_78645,Zip_78652,Zip_78653,Zip_78654,Zip_78660,Zip_78663,Zip_78664,Zip_78665,Zip_78669,Zip_78681,Zip_78701,Zip_78702,Zip_78703,Zip_78704,Zip_78705,Zip_78712,Zip_78717,Zip_78719,Zip_78721,Zip_78722,Zip_78723,Zip_78724,Zip_78725,Zip_78726,Zip_78727,Zip_78728,Zip_78729,Zip_78730,Zip_78731,Zip_78732,Zip_78733,Zip_78734,Zip_78735,Zip_78736,Zip_78737,Zip_78738,Zip_78739,Zip_78741,Zip_78742,Zip_78744,Zip_78745,Zip_78746,Zip_78747,Zip_78748,Zip_78749,Zip_78750,Zip_78751,Zip_78752,Zip_78753,Zip_78754,Zip_78756,Zip_78757,Zip_78758,Zip_78759,FID
2020/04/26 17:00:00+00,,0,0,3,1,2,0,1,28,1,9,1,0,1,1,3,0,0,3,0,28,0,80,0,5,0,3,0,34,22,37,68,58,0,3,0,14,6,32,42,19,6,12,20,3,4,28,7,10,11,10,4,4,15,9,125,2,94,36,40,39,115,18,9,17,56,53,9,5,24,79,17,144
2020/04/27 17:00:00+00,,0,0,3,1,2,0,1,29,1,10,0,0,1,1,3,0,0,3,0,31,0,85,0,5,0,3,0,37,25,39,69,58,0,3,0,14,6,33,48,20,6,12,19,3,4,29,8,10,11,9,4,4,15,10,133,2,103,36,41,41,124,18,10,17,58,57,9,5,25,81,17,145
2020/04/28 17:00:00+00,,0,0,3,1,2,0,1,30,1,10,0,0,1,1,4,0,0,3,0,31,0,88,0,5,0,3,0,37,26,39,69,59,0,4,0,18,6,35,50,21,6,12,20,4,4,30,8,11,11,9,4,4,15,10,136,3,110,39,41,43,126,18,10,17,58,71,11,5,25,85,17,146
2020/04/29 17:00:00+00,,0,0,3,1,2,0,1,31,1,12,0,0,1,1,4,0,0,3,0,36,0,88,0,7,0,4,0,37,26,38,71,59,0,4,0,22,6,40,54,22,6,14,23,4,4,31,9,11,11,10,4,4,15,10,144,3,114,41,41,46,130,19,9,16,62,75,12,5,24,86,19,147
2020/04/30 17:00:00+00,,0,0,3,1,2,0,1,31,1,13,0,0,1,1,4,0,0,3,0,35,0,95,0,7,0,5,0,37,28,42,72,59,0,4,0,23,6,42,56,23,6,15,22,4,4,35,8,11,11,9,4,5,15,10,144,4,115,41,42,49,133,19,11,17,64,78,15,5,25,88,19,148
2020/05/01 17:00:00+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,4,0,0,3,0,37,0,95,0,7,0,5,0,37,27,39,72,60,0,4,0,24,6,45,57,25,6,15,24,4,4,35,9,11,11,10,4,5,15,10,150,4,118,43,42,48,135,18,10,17,63,79,17,5,24,99,18,149
2020/05/02 17:00:00+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,6,0,0,3,0,37,0,96,0,8,0,5,0,37,27,39,74,60,0,6,1,25,6,45,59,25,7,15,24,4,4,35,9,11,11,11,4,5,15,10,167,4,123,44,42,48,136,18,10,17,63,81,17,5,24,99,18,150
2020/05/03 17:00:00+00,,0,0,3,1,2,0,1,33,1,14,0,0,1,1,6,0,0,3,0,37,0,99,0,8,0,5,0,37,28,40,75,60,0,6,1,26,6,47,62,27,7,15,24,4,5,35,8,11,11,11,4,5,15,10,171,4,127,48,42,49,139,18,10,17,64,84,18,5,25,101,18,151
2020/05/04 17:00:00+00,,0,0,3,1,2,0,1,34,1,14,0,0,1,1,6,0,0,4,1,39,0,99,0,8,0,5,0,38,28,40,76,60,0,7,1,29,6,47,64,28,7,15,27,4,5,35,8,11,12,11,4,5,15,10,183,4,132,49,44,49,140,18,10,17,67,92,18,5,25,108,18,152
2020/05/05 17:00:00+00,,0,0,3,1,2,0,1,37,1,15,0,0,1,1,6,0,0,4,1,40,0,105,0,8,0,5,0,39,29,41,79,60,0,7,1,30,6,49,66,29,7,16,27,4,5,36,8,11,14,11,4,5,16,10,189,4,136,52,44,50,143,18,11,17,68,99,20,5,26,109,18,153
2020/05/06 17:00:00+00,,0,0,3,1,5,0,0,38,1,16,0,0,1,1,6,0,0,4,1,42,0,108,0,8,0,5,0,38,29,42,80,60,0,7,1,30,6,52,72,31,7,17,28,4,4,35,8,11,14,10,4,5,17,10,197,4,139,54,54,50,144,18,13,19,71,105,23,5,27,115,18,154
2020/05/07 17:00:00+00,,0,0,3,1,5,0,0,38,1,19,0,0,1,1,6,0,0,4,1,43,0,111,0,8,0,5,0,38,29,43,82,60,0,6,1,30,6,55,73,32,7,17,29,4,4,35,8,11,14,11,4,5,18,10,202,4,152,57,53,50,154,19,13,16,74,109,24,5,27,119,19,155
2020/05/08 17:00:00+00,,0,0,3,2,5,0,0,40,1,19,0,0,1,1,6,0,0,4,1,46,1,117,0,8,0,5,0,38,29,42,89,60,0,6,1,30,6,58,79,33,7,18,28,4,4,36,8,11,14,12,4,5,18,10,207,4,158,59,53,52,159,19,13,16,75,115,25,5,27,123,19,156
2020/05/09 17:00:00+00,,0,0,3,2,5,0,0,42,1,19,0,0,1,1,6,0,0,6,1,46,1,116,0,9,0,5,0,38,31,43,88,60,0,6,1,31,6,61,83,34,7,20,28,4,4,35,8,11,14,12,4,5,18,10,211,4,157,59,53,51,159,20,12,17,76,120,27,5,28,124,19,157
2020/05/10 17:00:00+00,,0,0,3,2,5,0,0,42,1,19,0,0,2,1,7,0,0,7,1,47,1,122,0,9,0,5,0,38,31,43,89,60,0,6,1,31,6,60,83,34,8,20,29,4,4,34,8,11,15,12,4,5,18,10,213,4,161,60,53,53,160,21,13,17,77,122,27,5,29,127,19,158
2020/05/11 17:00:00+00,,0,0,3,2,5,0,0,43,1,19,0,0,2,1,7,0,0,9,1,48,1,126,0,9,0,5,0,37,31,43,90,60,0,7,1,30,6,60,86,36,8,20,32,5,4,34,8,12,15,14,8,5,21,10,216,4,167,64,54,55,160,21,13,16,77,126,28,5,30,132,19,159
2020/05/12 17:00:00+00,,0,0,2,2,4,0,0,45,1,20,0,0,2,0,7,0,0,9,1,49,1,130,0,9,0,5,0,37,31,43,95,60,0,8,1,32,6,61,91,36,8,21,35,6,4,34,8,12,16,14,12,6,21,10,216,4,171,67,54,57,160,22,13,16,78,130,29,5,30,134,21,160
2020/05/13 17:00:00+00,,0,0,3,1,4,0,0,48,1,19,0,0,2,0,7,0,0,9,1,51,1,131,0,8,0,5,0,37,32,43,97,60,0,7,1,32,6,62,91,38,9,22,35,6,4,34,8,12,16,15,18,5,21,10,220,5,174,67,55,57,163,30,14,16,80,134,30,6,30,140,21,161
2020/05/14 17:00:00+00,,0,0,3,1,4,0,0,51,1,19,0,0,2,0,7,0,0,9,1,52,1,138,0,8,0,5,0,37,31,43,98,60,0,6,1,32,6,62,92,39,9,22,36,5,4,34,8,12,16,19,18,5,21,10,231,5,182,74,55,60,162,30,14,16,85,141,32,6,29,141,22,162
2020/05/15 17:00:00+00,,0,0,2,1,3,0,0,52,1,19,0,0,2,0,7,0,0,9,1,53,1,142,0,8,0,5,0,39,32,41,101,60,0,8,1,32,6,60,95,40,9,23,39,6,5,36,9,12,17,18,18,6,20,9,235,5,185,79,57,59,165,32,16,15,82,146,33,6,29,144,20,163
2020/05/16 17:00:00+00,,0,0,2,1,3,0,0,58,1,19,0,0,2,0,7,0,0,9,2,55,1,146,0,9,0,5,1,50,33,41,103,60,0,8,2,33,6,61,99,41,9,24,39,6,5,38,9,12,18,18,13,6,20,9,239,5,191,82,57,60,166,32,16,15,84,152,35,7,30,147,20,164
2020/05/17 17:00:00+00,,0,0,2,1,4,0,0,62,1,19,0,0,2,0,7,0,0,9,1,54,1,149,0,9,0,5,1,38,33,43,100,60,0,7,2,36,6,64,97,41,9,25,39,6,4,35,9,12,17,19,12,5,21,9,248,5,192,81,57,60,165,32,16,16,85,157,38,7,31,151,20,165
2020/05/18 17:00:00+00,,0,0,2,1,4,0,0,63,1,19,0,0,2,0,7,0,0,9,1,57,1,151,0,9,0,5,1,38,36,43,103,60,0,7,2,36,6,66,102,43,9,26,39,6,4,35,9,12,18,19,12,5,21,9,253,5,195,86,58,60,169,32,16,16,89,164,41,7,32,157,21,166
2020/05/19 17:00:00+00,,0,0,2,1,3,0,0,65,1,20,0,0,2,0,7,0,0,9,2,65,1,153,0,9,0,5,1,40,38,41,106,60,0,8,2,38,8,68,102,46,9,27,40,8,5,36,9,12,18,18,14,6,20,9,258,5,200,91,58,63,172,32,16,17,90,165,42,7,32,159,22,167
2020/05/20 17:00:00+00,,0,0,2,1,4,0,0,68,1,20,0,0,2,0,7,0,0,10,3,67,1,156,0,10,0,5,2,39,39,43,105,60,0,7,2,38,8,70,103,48,9,27,39,9,5,35,9,12,19,19,21,5,21,9,264,5,202,89,58,64,176,35,16,17,90,166,43,7,34,162,22,168
2020/05/21 17:00:00+00,,0,0,3,2,4,0,0,70,1,20,0,0,2,0,8,0,0,10,3,69,1,159,0,12,0,5,1,39,40,43,109,62,0,7,3,38,9,71,107,50,9,28,39,9,5,35,9,12,19,19,33,5,22,9,266,5,207,92,58,65,183,37,16,17,91,169,43,7,34,164,22,57
2020/05/22 17:00:00+00,,0,0,3,1,4,0,0,73,1,20,0,0,2,0,9,0,0,10,1,70,1,168,0,11,0,5,1,39,42,43,114,62,0,7,3,40,9,70,109,51,9,28,40,9,4,35,9,12,19,19,33,5,22,9,272,5,211,93,58,66,185,38,17,17,94,176,43,7,35,168,22,58
2020/05/23 17:00:00+00,,0,0,3,1,4,0,0,75,1,20,0,0,2,0,9,0,0,10,1,69,1,169,0,11,0,5,1,39,42,43,114,62,0,7,3,40,9,70,108,51,9,29,40,9,4,35,9,12,19,19,34,5,22,9,273,5,216,92,58,69,187,38,17,18,95,178,43,7,35,169,22,59
2020/05/24 17:00:00+00,,0,0,3,1,5,0,0,73,1,22,0,0,2,0,9,0,0,13,1,70,1,170,0,11,0,5,1,39,42,43,116,62,0,7,3,42,9,70,117,51,9,29,43,9,4,36,9,12,19,19,34,5,23,10,276,5,221,96,58,70,193,39,18,18,99,182,46,7,35,172,23,60
2020/05/25 17:00:00+00,,0,0,5,1,5,0,0,77,1,22,0,0,2,0,9,0,0,13,1,70,1,176,0,11,0,5,1,39,43,44,118,62,0,9,3,43,9,72,125,52,9,31,45,10,4,36,9,12,20,20,34,5,23,10,281,5,237,97,58,72,194,40,19,18,106,190,47,7,36,178,23,61
2020/05/26 17:00:00+00,,0,0,5,1,5,0,0,80,1,23,0,0,2,0,9,0,0,14,1,71,1,177,0,11,0,5,1,39,45,45,118,62,0,9,3,46,9,76,128,52,10,31,47,10,4,36,9,12,20,20,36,5,23,11,280,5,244,99,58,74,194,41,19,18,110,194,50,7,36,181,23,62
2020/05/27 17:00:00+00,,0,0,6,1,5,0,0,81,1,25,0,0,2,0,9,0,0,14,1,73,1,182,0,11,0,5,1,39,45,45,118,62,0,9,3,47,9,80,133,52,10,33,48,10,4,36,9,12,21,20,36,6,24,11,288,5,254,106,58,75,195,42,19,19,110,200,51,7,36,187,24,63
2020/05/28 17:00:00+00,,0,0,6,2,5,0,0,88,1,26,0,0,2,0,9,0,0,14,1,76,1,187,0,11,0,5,1,39,47,45,119,62,0,9,3,49,9,86,137,54,10,33,50,10,4,36,10,12,22,21,36,6,25,10,297,5,256,111,58,77,195,42,19,20,112,202,51,7,36,192,24,64
2020/05/29 17:00:00+00,,0,0,6,2,6,0,0,93,1,27,0,0,2,0,10,0,0,14,1,80,1,190,0,12,0,5,1,39,49,44,122,62,0,9,3,51,9,87,144,55,10,34,51,11,4,36,11,12,22,22,38,6,25,10,302,5,262,112,58,80,196,43,19,20,117,207,54,7,37,197,24,65
2020/05/30 17:00:00+00,,0,0,6,2,5,0,0,92,1,28,0,0,2,0,10,0,0,14,2,81,1,194,0,12,0,5,1,39,50,42,124,63,0,10,3,52,9,86,147,56,10,35,52,11,5,37,10,12,22,21,38,6,24,10,301,5,266,116,58,80,198,43,19,21,118,216,54,7,37,201,25,66
2020/05/31 17:00:00+00,,0,0,6,3,6,0,0,96,1,29,0,0,2,0,10,0,0,14,2,82,1,194,0,12,0,5,2,39,50,44,124,63,0,9,3,54,9,88,150,56,10,34,53,11,4,37,11,12,22,22,39,5,25,10,306,5,262,116,59,82,197,45,19,21,119,220,57,7,38,205,25,67
2020/06/01 17:00:00+00,,0,0,6,4,6,0,0,103,1,30,0,0,2,0,10,0,0,14,2,84,1,196,0,12,0,5,2,40,51,44,128,63,0,9,3,55,9,92,157,58,10,34,56,11,6,37,11,12,22,23,39,5,26,11,309,5,272,117,61,83,198,47,19,21,125,231,61,7,38,215,26,68
2020/06/02 17:00:00+00,,0,0,6,4,6,0,0,105,1,30,0,0,2,0,12,0,0,14,2,85,1,199,0,12,0,5,2,40,53,44,129,63,0,8,3,59,9,97,160,62,11,34,57,11,7,37,9,12,22,25,39,5,26,12,316,5,279,119,63,85,202,49,19,21,127,244,68,7,38,227,26,69
2020/06/03 17:00:00+00,,0,0,6,4,6,0,0,110,1,32,0,0,2,0,12,0,0,14,2,87,1,203,0,12,0,5,2,41,55,44,132,63,0,9,3,58,9,101,163,62,11,35,57,12,7,37,10,12,22,26,39,6,26,12,321,5,284,120,63,85,203,51,20,21,128,246,70,8,38,233,27,70
2020/06/04 17:00:00+00,,0,0,6,4,6,0,0,109,1,33,0,0,2,0,13,0,0,14,2,86,1,205,0,12,0,5,2,42,55,45,134,63,0,10,3,58,9,103,163,63,11,36,58,12,7,39,11,13,20,27,39,6,27,12,324,5,285,123,65,86,208,51,23,21,130,252,72,8,39,236,28,71
2020/06/05 17:00:00+00,,0,0,6,4,6,0,1,112,1,34,0,0,2,0,14,0,0,14,2,87,1,208,0,12,0,5,2,43,55,45,135,64,0,10,3,57,9,106,168,63,12,36,61,13,7,39,11,13,20,27,40,6,27,13,325,5,289,127,65,88,208,52,23,21,130,265,74,8,39,238,28,72
2020/06/06 17:00:00+00,,0,0,6,4,6,1,1,113,1,34,0,0,2,0,13,0,0,14,2,89,1,209,0,12,0,5,2,46,56,45,137,64,0,10,3,57,9,107,173,63,12,36,61,14,7,39,11,13,20,27,41,6,27,13,329,5,298,129,65,89,208,53,22,21,133,268,76,8,39,243,28,73
2020/06/07 17:00:00+00,,0,0,5,4,6,1,1,114,1,36,0,0,2,0,14,0,1,14,3,87,1,210,0,12,2,5,2,50,58,44,136,66,0,10,3,57,9,109,172,65,13,34,58,15,7,37,10,13,18,27,43,7,27,13,318,4,303,128,67,96,204,51,23,30,135,271,77,9,39,245,31,75
2020/06/08 17:00:00+00,,0,0,6,4,6,1,1,116,1,37,0,0,2,0,13,0,0,15,2,92,1,215,0,13,0,5,2,49,60,45,141,65,0,10,3,61,9,115,181,65,13,36,60,15,7,40,11,13,21,29,42,7,28,13,347,8,312,132,66,93,213,55,23,22,139,281,86,10,41,251,33,76
2020/06/09 17:00:00+00,,0,0,6,4,6,2,1,120,1,40,0,0,2,0,12,0,0,15,2,99,1,225,0,13,0,5,2,49,59,46,148,68,0,10,3,61,9,120,188,68,14,36,62,14,8,40,10,13,22,31,43,7,28,14,361,8,323,137,68,95,221,60,26,22,149,298,91,11,42,257,36,77
2020/06/10 17:00:00+00,,0,0,8,4,8,2,0,122,1,42,0,0,2,0,12,0,0,15,2,100,1,234,0,13,0,5,2,50,63,46,151,69,0,10,3,63,9,124,199,71,14,39,64,15,8,41,11,13,23,32,43,7,29,14,372,9,334,139,67,97,223,61,33,22,151,311,95,11,44,265,37,78
2020/06/11 17:00:00+00,,0,0,8,4,8,2,0,114,1,42,0,0,2,0,13,0,0,14,2,96,1,219,0,12,0,2,2,27,70,32,134,54,0,9,3,59,7,120,192,66,13,40,55,15,7,34,9,10,18,29,41,5,25,11,341,9,302,133,55,85,186,56,30,16,146,305,100,9,36,253,30,79
2020/06/12 17:00:00+00,,0,0,8,4,8,2,0,128,1,44,0,0,2,0,13,0,1,16,2,107,1,250,0,14,0,5,2,51,71,49,159,70,0,11,4,63,9,129,211,73,15,45,67,16,9,41,13,13,25,35,43,8,29,15,385,9,348,144,69,102,227,64,35,23,157,333,104,11,48,279,38,80
2020/06/13 17:00:00+00,,0,0,8,4,9,2,0,134,1,44,0,0,2,0,13,0,1,17,2,111,1,263,0,14,0,5,2,53,75,48,163,70,0,12,4,64,9,132,220,74,18,49,72,17,10,42,16,13,26,35,43,10,29,17,393,11,364,150,69,107,237,64,35,24,156,350,109,12,50,295,39,81
2020/06/14 17:00:00+00,,0,0,9,4,10,2,0,136,1,45,0,0,2,0,14,0,0,17,3,111,1,262,0,14,0,5,2,54,75,50,165,71,0,12,4,64,10,133,223,75,19,47,73,17,12,41,17,13,26,38,43,10,31,16,403,11,366,146,69,108,240,65,35,24,163,358,113,12,55,300,40,82
2020/06/15 17:00:00+00,,0,0,9,4,10,3,0,138,1,45,0,0,2,0,14,0,0,17,3,113,1,267,0,15,0,5,2,57,79,50,170,73,0,12,4,68,11,138,232,77,20,48,77,17,12,43,20,14,26,38,43,11,31,16,414,12,376,149,69,110,241,65,35,25,169,378,114,12,58,310,41,83
2020/06/16 17:00:00+00,,0,0,9,4,10,3,0,147,1,45,0,0,2,0,14,0,0,17,4,117,1,278,0,15,0,5,2,58,84,51,173,72,0,12,4,68,11,142,237,78,20,48,80,17,12,43,20,14,27,38,43,11,31,16,418,12,381,152,70,111,245,68,37,25,171,390,114,12,59,317,41,84
2020/06/17 17:00:00+00,,0,0,9,4,12,3,0,152,1,45,0,0,2,1,14,0,0,19,6,119,1,297,0,16,0,6,2,61,91,56,181,73,0,15,4,70,11,145,242,84,20,51,83,18,15,47,21,14,27,38,44,14,35,18,436,12,398,160,70,112,253,71,42,29,176,404,119,12,65,329,47,85
2020/06/19 17:00:00+00,,0,0,10,4,13,3,0,160,1,46,0,0,2,1,15,0,0,21,8,130,1,329,0,17,0,6,2,62,108,58,190,75,0,18,4,74,11,156,255,85,20,58,90,21,15,52,22,14,28,40,45,14,34,21,454,12,423,176,73,118,260,74,47,32,182,427,127,14,67,351,48,87
2020/06/20 17:00:00+00,,0,0,10,4,18,3,0,175,1,50,0,0,2,1,16,0,1,21,11,137,1,355,0,21,0,8,3,69,121,62,204,76,0,20,4,79,12,165,266,89,23,58,98,25,16,55,23,14,34,45,46,16,36,19,473,13,449,204,79,130,275,82,52,35,197,464,137,14,73,372,54,88
2020/06/21 17:00:00+00,,0,0,13,5,18,3,0,194,1,59,1,0,2,1,20,0,1,26,11,147,1,392,0,20,0,10,3,75,134,70,226,82,0,23,5,86,13,178,282,95,26,61,106,28,16,58,24,15,37,47,48,17,39,20,512,14,483,220,87,135,302,90,56,39,216,507,153,15,85,400,62,89
2020/06/22 17:00:00+00,,0,0,13,5,16,3,0,191,1,58,1,0,2,1,21,0,1,25,11,151,1,397,0,21,0,9,4,130,141,67,230,85,0,23,7,85,13,179,280,88,27,65,109,29,16,60,24,15,40,45,48,17,43,22,515,14,494,232,91,138,307,89,56,40,210,503,154,15,84,401,64,90
2020/06/23 17:00:00+00,,0,0,13,6,21,3,0,203,1,61,1,0,2,1,19,0,0,26,13,155,1,409,0,22,0,11,3,84,147,75,240,93,0,24,8,89,13,193,288,95,29,65,113,34,16,64,25,15,41,50,49,17,45,23,530,14,528,241,96,149,320,97,60,39,225,524,173,16,88,421,66,91
2020/06/24 17:00:00+00,,0,0,16,6,24,4,0,210,1,64,1,0,2,2,19,0,0,27,14,168,1,427,0,22,0,12,4,88,158,78,255,98,0,24,9,91,14,206,299,104,29,71,114,38,15,69,26,15,44,51,50,20,49,23,546,14,549,253,98,154,334,100,68,40,238,550,182,20,92,443,69,92
2020/06/25 17:00:00+00,,0,0,16,6,25,4,0,214,1,66,1,0,2,2,19,0,0,27,14,175,1,436,0,22,0,12,4,91,165,83,260,102,1,25,9,93,14,212,306,106,29,74,116,40,15,70,26,17,44,51,49,20,49,25,566,14,560,261,100,162,342,101,71,45,240,558,185,21,94,458,74,93
2020/06/27 17:00:00+00,,0,0,20,6,28,4,0,231,2,69,0,0,4,2,21,0,0,29,18,183,1,473,0,25,0,12,8,100,193,88,279,124,1,28,10,101,17,227,339,113,32,89,128,46,16,73,29,18,48,57,50,23,51,31,631,15,609,298,109,171,355,114,73,53,259,636,208,26,108,508,85,95
2020/06/28 17:00:00+00,,0,0,22,7,29,4,0,243,2,70,0,0,4,3,22,0,0,33,20,202,1,529,0,28,0,15,9,105,206,93,308,139,1,30,10,112,18,247,358,116,37,93,140,49,17,84,31,18,50,65,53,28,55,32,674,17,660,331,114,178,378,119,80,60,276,676,227,27,120,544,100,96
2020/06/29 17:00:00+00,,1,0,22,7,32,4,1,254,2,75,1,0,4,3,27,0,0,35,24,214,1,556,0,28,2,17,9,113,219,101,336,151,2,32,13,117,19,256,376,122,38,102,149,54,18,96,31,19,52,70,55,28,60,33,711,17,690,354,122,183,392,131,83,66,285,716,239,28,128,580,106,97
2020/06/30 17:00:00+00,,1,0,21,7,31,4,0,292,3,79,1,0,4,4,29,0,0,35,28,237,1,588,0,28,3,17,9,121,225,108,347,161,1,33,14,125,21,271,397,129,40,106,157,57,18,101,30,23,62,77,56,32,65,36,759,17,742,378,124,192,407,140,86,68,301,758,255,29,135,603,109,98
2020/07/01 17:00:00+00,,2,0,21,7,36,1,2,312,3,84,1,0,4,4,33,0,0,37,32,255,1,630,0,29,3,18,9,122,240,112,370,179,1,34,15,134,22,288,427,137,41,119,166,52,19,110,32,25,71,90,56,35,69,38,796,17,797,412,131,213,423,148,92,71,310,794,266,36,147,626,114,99
2020/07/02 17:00:00+00,,2,0,24,8,42,2,2,329,3,94,1,3,4,6,35,0,0,38,39,273,1,670,0,33,3,19,12,124,250,114,393,185,1,36,15,140,22,304,448,142,46,126,177,57,20,110,33,28,76,96,61,35,74,42,822,17,831,441,137,230,461,158,99,77,322,826,284,39,150,646,122,100
2020/07/03 17:00:00+00,,2,0,30,9,45,2,3,338,3,96,2,3,4,8,36,0,1,40,39,281,1,696,0,35,4,20,14,126,263,115,403,191,1,37,15,144,23,314,460,144,49,135,184,60,19,115,35,29,82,101,62,35,75,44,838,17,844,452,144,231,471,164,103,79,327,851,292,39,152,667,124,101
2020/07/04 17:00:00+00,,2,0,26,9,47,2,3,345,2,97,2,3,4,3,36,0,1,40,39,282,1,703,0,36,4,20,14,128,277,118,405,193,2,36,15,144,25,321,469,145,49,140,188,62,19,115,34,30,84,103,63,34,75,44,849,17,853,459,147,235,473,164,106,79,329,859,291,39,153,675,123,102
2020/07/05 17:00:00+00,,2,0,27,11,48,2,3,369,3,98,3,3,4,4,37,0,2,39,42,289,1,748,0,38,5,22,15,133,290,124,418,198,2,39,16,151,29,332,497,151,53,146,199,66,19,120,35,31,89,109,64,36,78,45,887,18,896,480,152,253,506,171,108,81,348,896,304,41,155,711,135,103
2020/07/06 17:00:00+00,,0,0,28,11,26,2,1,377,2,99,1,1,3,5,32,0,1,42,43,295,1,772,0,35,2,24,12,135,293,128,431,199,2,36,20,159,34,345,506,159,56,155,200,65,19,126,36,31,91,110,64,35,78,46,907,18,927,486,155,264,523,178,114,82,352,918,306,43,157,716,151,104
2020/07/07 17:00:00+00,,0,0,30,11,26,2,2,388,2,104,3,1,3,6,33,0,2,41,46,306,1,807,0,36,2,27,12,140,306,131,458,206,2,35,21,166,34,361,518,167,58,159,210,66,19,131,38,31,93,113,66,36,81,50,933,18,967,520,158,274,541,186,122,83,361,944,315,46,167,736,164,105
2020/07/08 17:00:00+00,,0,0,33,11,36,2,2,413,2,107,4,1,3,6,34,0,2,41,50,329,1,852,0,39,2,32,13,144,328,133,479,210,2,45,23,175,72,385,542,176,64,165,218,73,24,140,41,35,98,118,67,39,89,52,975,21,1015,557,167,300,576,197,127,86,377,1000,329,47,177,767,174,106
2020/07/09 17:00:00+00,,1,0,34,12,40,2,4,434,3,109,4,1,3,10,34,0,2,42,52,352,1,929,0,41,3,33,15,146,348,139,495,213,2,49,25,183,82,411,581,194,71,173,230,76,24,150,44,35,101,123,71,43,95,55,1019,22,1055,595,168,320,592,207,133,89,395,1045,346,47,183,796,182,107
2020/07/10 17:00:00+00,,2,0,36,13,40,2,2,451,2,112,2,1,3,6,34,0,2,44,56,364,2,976,0,39,4,33,16,150,354,144,510,216,2,47,28,189,85,420,597,197,70,174,234,73,24,151,44,37,112,128,71,42,96,60,1046,22,1100,621,171,335,620,211,138,90,413,1081,357,48,190,819,190,108
2020/07/11 17:00:00+00,,2,0,40,15,42,2,2,463,3,116,4,1,3,6,35,0,2,44,56,371,2,1006,0,40,5,34,16,154,361,147,523,225,2,47,29,190,88,422,606,202,75,181,238,77,24,155,46,38,115,132,73,43,98,60,1067,22,1119,628,179,342,626,212,142,92,422,1098,361,48,191,835,204,109
2020/07/12 17:00:00+00,,2,0,40,17,44,2,2,468,4,117,5,2,3,6,36,0,2,46,57,376,2,1015,0,40,5,35,18,157,366,152,528,226,2,48,29,197,88,427,614,202,77,181,239,81,24,160,46,39,116,137,73,43,99,60,1069,22,1127,634,181,342,628,213,146,93,424,1102,371,51,194,837,205,110
2020/07/13 17:00:00+00,,2,0,46,22,50,2,3,490,4,128,8,2,3,20,38,0,5,47,60,384,2,1055,0,43,7,36,19,157,385,153,544,227,2,50,32,207,91,448,653,208,80,186,249,84,26,162,51,40,121,143,76,46,101,62,1111,23,1173,651,186,358,643,216,151,95,438,1165,399,53,197,895,220,111
2020/07/14 17:00:00+00,,2,0,49,21,51,2,3,511,4,131,8,2,3,21,40,0,5,48,63,409,2,1109,0,44,7,41,19,160,396,154,564,235,2,50,36,215,91,470,684,215,82,191,258,87,27,168,54,42,128,149,78,48,106,67,1144,24,1205,671,189,376,659,220,158,98,449,1199,418,54,203,933,223,112
2020/07/15 17:00:00+00,,1,0,50,21,53,2,4,527,4,137,10,2,3,22,43,0,5,48,65,430,2,1152,0,45,7,41,18,163,409,163,582,243,2,57,40,226,97,485,699,220,88,194,268,92,28,171,60,44,129,157,78,50,107,70,1168,25,1261,697,190,395,682,229,163,99,457,1224,432,56,211,968,237,113
2020/07/16 17:00:00+00,,0,0,49,22,57,2,4,545,4,138,10,2,4,21,44,0,4,49,68,446,2,1195,0,46,7,41,19,165,423,166,585,244,2,58,40,234,101,499,726,227,88,200,275,98,31,176,66,46,133,161,79,52,108,72,1182,28,1291,713,190,403,696,233,201,103,468,1246,443,58,218,988,244,169
2020/07/17 17:00:00+00,,1,0,52,22,60,2,4,564,4,140,10,2,5,21,43,0,4,52,68,454,2,1211,0,46,7,42,19,166,429,170,589,247,2,58,42,236,102,504,737,229,91,203,276,97,32,177,67,46,137,165,79,54,115,72,1196,28,1306,720,193,404,700,236,215,105,472,1268,448,59,217,1001,254,170
2020/07/18 17:00:00+00,,1,0,52,22,60,2,4,573,4,139,8,1,3,21,45,0,4,54,69,474,2,1230,0,46,7,44,19,170,436,170,590,252,2,59,42,237,104,506,756,234,91,206,279,97,32,178,68,46,139,169,79,54,116,72,1213,28,1327,730,194,414,703,240,216,107,474,1287,456,59,221,1017,255,171
2020/07/19 17:00:00+00,,0,0,52,22,62,2,4,575,4,142,7,1,3,21,45,0,4,55,69,479,2,1247,0,46,7,45,20,172,442,170,600,254,2,58,42,238,105,512,768,238,93,208,282,99,32,182,71,46,147,169,79,54,117,72,1222,28,1337,737,194,416,708,242,217,110,481,1294,462,60,223,1022,258,172
2020/07/20 17:00:00+00,,1,0,52,22,63,2,4,576,3,143,7,1,4,21,45,0,4,55,70,487,2,1259,0,46,8,47,20,173,445,173,606,256,2,61,42,241,106,516,779,242,93,212,282,100,32,183,71,47,148,172,81,54,120,74,1230,28,1346,739,197,417,716,245,218,112,487,1304,464,62,225,1030,273,173
